Weighted Total [Total Pts: up to 0 Percentage] |1576204,Total [Total Pts: up to 480 Score] |1576203,Academic Integrity Quiz [Total Pts: 10 Score] |1626325,Syllabus Quiz [Total Pts: 10 Score] |1626326,Pre-Lab 1 [Total Pts: 5 Score] |1626327,Lab 1 [Total Pts: 20 Score] |1626328,Pre-Lab 2 [Total Pts: 5 Score] |1626329,Lab 2 [Total Pts: 20 Score] |1626330,Pre-Lab 3 [Total Pts: 5 Score] |1626331,Lab 3 [Total Pts: 20 Score] |1626332,Pre-Lab 4 [Total Pts: 5 Score] |1626333,Lab 4 [Total Pts: 20 Score] |1626334,Pre-Lab 5 [Total Pts: 5 Score] |1626335,Lab 5 [Total Pts: 20 Score] |1626336,Pre-Lab 6 [Total Pts: 5 Score] |1626337,Lab 6 [Total Pts: 20 Score] |1626338,Pre-Lab 7 [Total Pts: 5 Score] |1626339,Lab 7 [Total Pts: 20 Score] |1626340,Pre-Lab 8 [Total Pts: 5 Score] |1626341,Lab 8 [Total Pts: 20 Score] |1626342,Pre-Lab 9 [Total Pts: 5 Score] |1626343,Lab 9 [Total Pts: 20 Score] |1626344,Pre-Lab 10 [Total Pts: 0 Score] |1626345,Lab 10 [Total Pts: 0 Score] |1626346,Exam 1 [Total Pts: 65 Score] |1626368,Exam 2 [Total Pts: 65 Score] |1626374,Documentary Review Extra Credit [Total Pts: 0 Score] |1626362,Misc. Extra Credit [Total Pts: 0 Score] |1626371,ANTH 105 Midterm Instruction Assessment [Total Pts: 0 Complete/Incomplete] |1626363,Midterm Grade Percentage Column [Total Pts: up to 120 Percentage] |1626364,Midterm Letter Grade [Total Pts: 0 Text] |1626365,Lincoln Park Zoo Assignment [Total Pts: 30 Score] |1626369,Field Museum Scavenger Hunt [Total Pts: 50 Score] |1626370,Date Last Attendance [Total Pts: 0 Text] |1626376,Documentary Lab Questions [Total Pts: 25 Score] |1626367,Food Allergies Survey [Total Pts: 0 Complete/Incomplete] |1626324,Sli.do total [Total Pts: 0 Text] |1691825,Inquizitive extra credit [Total Pts: 0 Text] |1695424,Incomplete: Final Total Points [Total Pts: 475 Percentage] |1626372,Incomplete: Final Letter Grade [Total Pts: 100 Text] |1626373,Final Grade Percentage [Total Pts: up to 480 Percentage] |2289825,Final Grade Letter [Total Pts: up to 480 Letter] |2289813,Total Assignment Percentage [Total Pts: up to 305 Percentage] |2291828,Total Exam Percentage [Total Pts: up to 130 Percentage] |2291829,Total Attendance Percentage [Total Pts: 0 Score] |2291839,Total Extra Credit [Total Pts: 0 Score] |2291840
,446.0,9,10.0,0.0,20.0,5.0,18.0,5.0,18.5,5.0,18.0,5.0,19.5,4.5,17.0,5.0,18.5,4.5,20.0,4.0,20.0,5.0,19.0,55.0,53.0,,,Complete,90.41666,A,23.5,44.0,,,,20,,93.89473000000001,A,92.91666,A,98.03278,83.07692,100,0.0
,432.5,9,10.0,4.0,17.0,5.0,19.5,5.0,18.5,5.0,20.0,4.5,18.0,5.0,18.5,5.0,18.5,4.0,19.5,3.5,20.0,5.0,20.0,44.0,30.0,5.0,,Complete,94.16666,A,30.0,48.0,,,,16,5.0,91.05263000000001,A,90.10416,A,102.78688000000001,56.923069999999996,80,5.0
,297.5,9,10.0,3.0,18.0,2.5,16.0,4.5,16.0,,,,,4.5,19.0,,9.0,1.0,19.5,4.0,20.0,5.0,20.0,32.0,0.0,,,,65.83333,D,18.0,46.5,,,,20,,62.631569999999996,D,61.97916,D,74.26229000000001,24.61538,100,0.0
,398.95,9,10.0,5.0,20.0,5.0,20.0,0.0,16.0,5.0,18.5,5.0,18.0,4.0,15.25,3.0,18.5,3.2,19.0,4.0,19.0,4.0,15.0,38.0,40.0,5.0,,Complete,90.41666,A,23.5,36.0,,,,20,,82.94736,B,83.11458,B,90.80327,60.0,100,0.0
,399.0,9,10.0,4.0,16.0,5.0,20.0,4.0,18.0,4.5,20.0,5.0,18.5,5.0,19.5,4.0,19.5,3.0,19.5,1.5,20.0,4.0,19.0,51.0,55.0,,,,92.08333,A,25.0,0.0,,,,19,0.0,84.0,B,83.125,B,83.60655,81.53846,95,0.0
,425.5,9,10.0,5.0,20.0,3.0,20.0,4.0,19.5,5.0,20.0,4.0,20.0,5.0,20.0,5.0,19.5,0.0,0.0,4.5,20.0,5.0,20.0,50.0,46.0,,,,96.25,A,30.0,41.0,,,,20,,,A,88.64583,B,95.2459,73.84615,100,0.0
,346.5,9,9.0,5.0,20.0,5.0,20.0,5.0,19.0,4.0,20.0,5.0,20.0,5.0,19.0,0.0,0.0,0.0,0.0,3.0,20.0,0.0,20.0,47.0,51.0,,,,96.66666,A,28.5,0.0,,,,12,,75.05263000000001,C,72.1875,C,71.63934,75.38461,60,0.0
,452.5,7,9.0,5.0,20.0,3.0,18.0,5.0,17.0,4.0,20.0,5.0,18.0,5.0,19.0,4.0,19.5,5.0,19.5,5.0,20.0,4.0,20.0,47.0,57.0,,,Complete,90.0,A,27.5,49.0,,,,20,,95.26315,A,94.27083,A,102.45900999999999,80.0,100,0.0
,428.0,10,8.0,4.5,20.0,5.0,20.0,4.0,18.5,5.0,15.0,0.0,0.0,4.5,20.0,4.0,19.5,4.0,19.0,5.0,20.0,5.0,20.0,54.0,52.0,0.0,,,91.66666,A,25.0,50.0,,,,16,,,A,89.16666,B,94.42622,81.53846,80,0.0
,417.0,10,9.0,4.5,20.0,3.0,19.5,5.0,13.0,4.5,20.0,5.0,20.0,,20.0,5.0,20.0,3.5,20.0,3.5,20.0,5.0,20.0,36.0,42.0,,,In Progress,90.41666,B,30.0,47.5,,,,11,,87.78947,B,86.875,B,101.31147,60.0,55,0.0
,422.5,9,8.0,5.0,20.0,5.0,17.0,5.0,19.5,4.5,20.0,4.0,19.0,4.5,20.0,5.0,18.0,4.0,19.5,4.0,20.0,4.0,19.0,36.0,35.0,,,,94.16666,A,27.5,50.0,,,,20,,88.94736,B,88.02083,B,103.11475,54.61538,100,0.0
,478.0,10,10.0,5.0,20.0,5.0,18.5,4.0,19.0,5.0,20.0,5.0,20.0,5.0,19.0,5.0,18.5,4.5,20.0,5.0,20.0,5.0,20.0,57.0,58.0,,,,97.08333,A,29.5,50.0,,,,20,,100.63157,A,99.58333,A,105.90163000000001,88.46153000000001,100,0.0
,393.5,10,6.0,4.0,19.0,5.0,17.0,5.0,19.0,3.5,19.0,4.0,19.0,4.0,16.0,5.0,16.0,4.5,18.0,5.0,20.0,0.0,0.0,42.0,47.0,,,Complete,89.58333,B,28.0,45.5,,,,12,,,B,81.97916,B,90.65573,68.46153000000001,60,0.0
,375.5,10,8.0,4.0,20.0,5.0,18.5,5.0,19.5,3.5,20.0,4.5,19.0,4.0,16.5,2.5,15.0,4.0,18.0,5.0,20.0,4.0,18.0,40.0,52.0,,,,94.58333,A,23.5,0.0,,,,16,,,C,78.22916,C,81.80327,70.76923000000001,80,0.0
,296.5,8,9.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,20.0,4.0,18.5,4.5,15.0,2.0,12.0,2.5,18.5,4.0,20.0,4.5,17.0,28.0,43.0,,,Complete,34.58333,F,15.5,32.0,,,,14,,62.42105,D,61.770830000000004,D,63.77049,54.61538,70,0.0
,404.5,,9.0,4.5,20.0,1.0,18.5,2.5,15.0,2.0,18.5,5.0,17.25,4.5,16.0,4.0,18.75,4.0,20.0,3.5,20.0,2.5,19.0,45.0,39.0,5.0,,Complete,75.83333,C,24.5,42.0,,,,20,3.5,84.21051999999999,B,84.27083,B,92.78688000000001,64.61538,100,3.5
,443.0,9,8.0,4.5,19.0,5.0,20.0,5.0,19.5,5.0,16.0,5.0,20.0,5.0,17.0,5.0,19.5,5.0,19.0,2.0,20.0,5.0,18.0,48.0,47.0,,,Complete,92.5,A,28.0,48.5,,,,20,,93.26315,A,92.29166,A,101.96721,73.07692,100,0.0
,371.5,9,10.0,5.0,18.5,4.0,20.0,5.0,18.5,4.0,20.0,5.0,18.0,0.0,0.0,0.0,18.5,0.0,19.0,0.0,0.0,0.0,0.0,49.0,55.0,,,,95.0,A,30.0,50.0,,,,13,0.0,78.31578,C,77.39583,C,77.21311,80.0,65,0.0
,467.0,10,10.0,4.5,19.0,5.0,18.0,5.0,16.5,5.0,20.0,4.0,20.0,5.0,17.5,5.0,17.5,5.0,18.0,5.0,20.0,5.0,20.0,51.0,60.0,4.0,,,94.16666,A,27.0,50.0,,,,20,,,A,97.29166,A,102.29508,85.38461,100,0.0
,461.0,8,9.0,4.0,20.0,5.0,18.0,4.0,18.5,5.0,20.0,5.0,18.0,4.5,20.0,5.0,20.0,5.0,20.0,5.0,20.0,5.0,20.0,49.0,58.0,,,Complete,92.91666,A,30.0,45.0,,,,20,,,A,96.04166,A,103.93441999999999,82.30769000000001,100,0.0
,96.0,10,10.0,0.0,0.0,5.0,19.0,0.0,0.0,0.0,0.0,3.0,18.0,0.0,0.0,,,,,,,,,,,,,,36.66666,F,22.0,,,,,9,,,,20.0,F,21.96721,0.0,45,0.0
,443.0,10,10.0,5.0,20.0,0.0,20.0,3.0,19.0,5.0,20.0,5.0,20.0,4.5,20.0,5.0,20.0,5.0,20.0,3.0,20.0,5.0,20.0,41.0,48.0,,,Complete,93.33333,B,30.0,49.5,,,,15,,,A,92.29166,A,104.59016,68.46153000000001,75,0.0
,480.0,10,10.0,5.0,20.0,3.0,19.0,5.0,19.0,5.0,20.0,4.0,20.0,5.0,20.0,5.0,20.0,4.5,20.0,3.5,20.0,5.0,20.0,57.0,61.0,,,,96.66666,A,30.0,49.0,,,,20,0.0,101.05263000000001,A,100.0,A,105.57377,90.76923000000001,100,0.0
,490.0,10,10.0,3.0,20.0,5.0,20.0,5.0,19.0,5.0,19.5,5.0,18.5,5.0,20.0,5.0,19.5,5.0,19.5,5.0,20.0,5.0,20.0,60.0,58.0,5.0,,Complete,97.08333,A,30.0,48.0,,,,20,5.0,103.15789000000001,A,102.08333,A,105.57377,90.76923000000001,100,5.0
,442.5,9,10.0,4.5,20.0,4.5,19.0,5.0,19.0,5.0,20.0,5.0,20.0,5.0,20.0,5.0,20.0,2.0,20.0,4.0,20.0,5.0,20.0,39.0,42.0,5.0,,Complete,96.66666,A,25.0,49.5,,,,20,,92.10526,A,92.1875,A,104.09836,62.30769,100,0.0
,416.5,10,9.0,3.0,19.0,5.0,18.0,4.5,19.0,5.0,20.0,5.0,19.0,5.0,18.0,5.0,17.0,2.5,19.0,5.0,20.0,4.5,19.0,31.0,51.0,,,Complete,93.75,A,23.0,49.0,,,,11,,,B,86.77083,B,99.83606,63.076919999999994,55,0.0
,467.5,9,10.0,5.0,20.0,3.0,20.0,5.0,17.5,5.0,20.0,5.0,19.0,5.0,19.0,5.0,19.5,5.0,19.0,3.0,20.0,5.0,20.0,55.0,56.0,,,Complete,95.41666,A,25.0,49.5,,,,20,3.0,97.78947,A,97.39583,A,103.11475,85.38461,100,3.0
,460.0,5,5.0,4.5,20.0,5.0,17.5,5.0,18.0,0.0,20.0,5.0,19.0,5.0,18.0,5.0,18.0,5.0,19.5,4.0,20.0,4.0,20.0,56.0,58.0,5.0,,Complete,83.33333,B,29.5,49.0,,,,20,,96.8421,A,95.83333,A,101.96721,87.6923,100,0.0
,450.0,10,10.0,5.0,20.0,5.0,19.5,5.0,17.0,5.0,20.0,5.0,20.0,4.5,19.0,5.0,20.0,4.5,20.0,3.0,20.0,4.0,20.0,39.0,52.0,,,,97.08333,A,28.0,49.5,,,,20,,94.73684,A,93.75,A,104.59016,70.0,100,0.0
,372.75,9,6.0,2.0,19.0,3.0,18.0,0.0,0.0,4.5,14.5,2.5,16.0,0.0,0.0,4.0,19.5,3.0,19.5,1.0,20.0,5.0,20.0,44.0,52.0,,,,63.333330000000004,D,26.25,48.0,,,,16,,78.47368,C,77.65625,C,80.57377,73.84615,80,0.0
,448.0,10,9.0,5.0,20.0,5.0,20.0,4.0,18.5,3.5,20.0,4.0,17.0,5.0,20.0,4.0,19.0,4.0,20.0,5.0,20.0,5.0,20.0,42.0,52.0,,,Complete,95.83333,A,27.0,49.0,,,,20,,94.31578,A,93.33333,A,103.27868000000001,72.30769000000001,100,0.0
,480.5,10,10.0,5.0,18.5,5.0,20.0,5.0,19.0,5.0,20.0,5.0,20.0,5.0,20.0,5.0,18.0,5.0,20.0,5.0,20.0,5.0,20.0,55.0,55.0,5.0,,Complete,97.91666,A,30.0,50.0,,,,20,,,A,100.10416,A,106.72131,84.61538,100,0.0
,431.5,10,9.0,3.0,20.0,5.0,19.0,5.0,18.5,5.0,19.0,5.0,18.5,4.5,19.0,3.5,19.0,4.0,18.5,4.0,20.0,4.0,19.0,41.0,43.0,,,Complete,94.58333,A,29.0,46.0,,,,20,,90.8421,A,89.89583,B,101.14754,64.61538,100,0.0
,489.5,10,10.0,4.0,20.0,5.0,17.0,5.0,19.5,5.0,20.0,5.0,20.0,4.0,17.5,5.0,18.0,5.0,18.0,5.0,20.0,5.0,20.0,58.0,61.0,,,Complete,96.25,A,30.0,58.0,,,,20,4.5,,A,101.97916,A,106.88524,91.53846,100,4.5
,466.0,10,9.0,4.5,20.0,5.0,20.0,5.0,20.0,5.0,15.0,5.0,20.0,5.0,18.0,4.0,19.5,5.0,20.0,5.0,20.0,5.0,20.0,55.0,56.0,0.0,,Complete,94.58333,A,30.0,45.0,,,,20,0.0,,A,97.08333,A,103.60655,85.38461,100,0.0
,328.0,9,9.0,4.0,19.0,0.0,20.0,4.0,18.5,0.0,7.0,0.0,8.0,4.0,20.0,3.0,14.0,3.5,20.0,2.5,20.0,4.5,16.0,40.0,41.0,,,Complete,75.41666,C,21.0,0.0,,,,20,0.0,69.05263000000001,D,68.33333,D,68.52459,62.30769,100,0.0
,453.0,10,10.0,5.0,20.0,5.0,17.0,5.0,19.5,5.0,19.0,5.0,18.0,4.5,20.0,5.0,19.5,4.0,20.0,5.0,20.0,5.0,20.0,45.0,44.0,5.0,,Complete,96.25,A,29.5,48.0,,,,20,,95.36842,A,94.375,A,104.59016,68.46153000000001,100,0.0
,338.5,,,5.0,20.0,1.0,17.0,5.0,18.5,0.0,0.0,0.0,8.0,4.5,20.0,5.0,18.5,3.0,17.0,2.0,20.0,5.0,20.0,28.0,27.0,,,Complete,55.41666,F,30.0,44.0,,,,20,0.0,,C,70.52083,C,86.39344,42.30769,100,0.0
,449.5,8,9.0,5.0,20.0,5.0,20.0,4.0,18.5,5.0,20.0,5.0,20.0,0.0,0.0,5.0,20.0,4.0,20.0,4.0,20.0,5.0,20.0,48.0,59.0,5.0,,,95.41666,A,30.0,50.0,,,,20,,,A,93.64583,A,98.52459,82.30769000000001,100,0.0
,488.0,8,9.0,4.5,20.0,5.0,17.0,5.0,19.5,5.0,20.0,5.0,18.0,5.0,20.0,5.0,19.0,5.0,19.0,4.0,20.0,5.0,20.0,59.0,61.0,5.0,,Complete,94.16666,A,30.0,50.0,,,,20,5.0,102.73684,A,101.66666,A,105.2459,92.30769000000001,100,5.0
,453.5,9,10.0,5.0,20.0,5.0,20.0,5.0,18.5,5.0,19.0,5.0,19.5,4.5,20.0,5.0,19.0,2.0,19.0,4.0,20.0,4.5,19.0,51.0,57.0,,,Complete,97.08333,A,24.5,43.0,,,,20,,,A,94.47916,A,100.4918,83.07692,100,0.0
,427.5,8,10.0,4.5,13.0,5.0,20.0,5.0,19.0,5.0,20.0,5.0,20.0,4.5,19.0,5.0,20.0,4.0,19.5,5.0,20.0,0.0,0.0,41.0,56.0,0.0,,Complete,91.25,A,30.0,49.0,,,,20,,,A,89.0625,B,95.90163000000001,74.61538,100,0.0
,423.75,10,9.0,5.0,18.5,3.0,18.0,3.0,15.0,5.0,20.0,5.0,18.0,4.5,15.75,4.0,18.5,5.0,20.0,4.0,20.0,5.0,20.0,38.0,33.0,5.0,,Complete,88.75,B,30.0,50.0,,,,20,1.5,88.21051999999999,A,88.28125,B,100.7377,54.61538,100,1.5
,424.0,8,10.0,2.0,18.0,5.0,16.5,4.0,16.5,4.5,20.0,3.0,20.0,3.0,18.0,3.0,18.0,5.0,18.5,5.0,20.0,5.0,18.0,44.0,49.0,,,Complete,87.08333,B,28.5,41.5,,,,20,,,A,88.33333,B,96.06557,71.53846,100,0.0
,380.5,0,10.0,4.0,17.0,3.0,20.0,0.0,0.0,5.0,15.0,5.0,19.0,5.0,20.0,5.0,20.0,5.0,20.0,0.0,0.0,4.5,20.0,41.0,44.0,0.0,,,61.66666,D,30.0,50.0,,,,18,,,B,79.27083,C,87.70491,65.38461,90,0.0
,367.5,10,9.0,1.5,15.0,5.0,15.0,4.0,18.5,4.5,20.0,3.0,18.5,0.5,16.0,3.0,14.0,2.0,18.0,0.5,20.0,2.5,17.0,37.0,46.0,,,,85.41666,B,15.0,37.0,,,,15,,77.36842,C,76.5625,C,82.13114,63.84615,75,0.0
,478.0,10,10.0,5.0,20.0,5.0,19.0,5.0,20.0,5.0,20.0,5.0,20.0,5.0,20.0,5.0,20.0,5.0,20.0,5.0,20.0,5.0,20.0,51.0,56.0,,,,99.16666,A,30.0,50.0,,,,20,2.0,,A,99.58333,A,107.86885,82.30769000000001,100,2.0
,439.5,10,10.0,5.0,19.0,5.0,20.0,5.0,19.0,5.0,19.0,5.0,18.5,4.5,19.5,4.0,18.0,3.0,20.0,4.0,20.0,5.0,19.0,43.0,41.0,5.0,,Complete,97.5,A,29.0,44.0,,,,20,,92.52631,A,91.5625,A,101.80327,64.61538,100,0.0
,505.5,8,10.0,5.0,20.0,5.0,20.0,5.0,20.0,5.0,20.0,5.0,20.0,5.0,20.0,5.0,19.5,5.0,20.0,5.0,20.0,5.0,20.0,63.0,65.0,5.0,,Complete,98.33333,A,30.0,50.0,,,,20,5.0,,A,105.3125,A,108.03278,98.46153000000001,100,5.0
,430.0,8,10.0,5.0,20.0,5.0,20.0,5.0,17.0,5.0,19.5,5.0,19.0,5.0,20.0,5.0,17.0,5.0,19.5,5.0,20.0,0.0,0.0,45.0,53.0,,,,95.41666,A,27.0,50.0,,,,20,,90.52631,A,89.58333,B,96.39344,75.38461,100,0.0
,429.0,8,9.0,3.0,20.0,5.0,17.0,5.0,20.0,4.5,19.0,4.0,19.5,4.0,16.0,4.0,15.0,4.0,18.0,5.0,20.0,5.0,19.0,48.0,56.0,,,In Progress,92.08333,A,24.0,37.0,,,,20,,,A,89.375,B,94.42622,80.0,100,0.0
,476.5,9,9.0,5.0,18.0,4.0,20.0,5.0,18.0,5.0,20.0,3.0,19.5,4.5,19.0,5.0,19.0,5.0,20.0,3.0,20.0,5.0,20.0,58.0,56.0,5.0,,Complete,94.16666,A,27.0,49.5,,,,20,5.0,99.26315,A,99.27083,A,103.11475,87.6923,100,5.0
,424.75,9,9.0,4.25,20.0,3.0,17.0,5.0,19.0,4.5,20.0,5.0,18.0,4.5,19.0,4.0,19.0,5.0,19.5,4.0,20.0,5.0,20.0,32.0,40.0,,,Complete,92.29166,A,30.0,49.0,,,,20,,89.42105,B,88.48958,B,103.19672,55.384609999999995,100,0.0
,430.0,10,10.0,4.0,17.0,4.5,20.0,5.0,17.0,4.5,20.0,5.0,18.5,5.0,19.0,4.0,18.5,3.5,19.0,3.5,20.0,5.0,18.0,40.0,36.0,5.0,,Complete,93.33333,A,29.0,49.0,,,,20,,90.52631,A,89.58333,B,101.31147,58.46153,100,0.0
,446.5,8,10.0,3.0,20.0,0.0,20.0,4.0,19.0,5.0,20.0,5.0,17.5,4.5,19.0,4.0,19.0,4.5,20.0,4.0,20.0,4.0,19.0,48.0,45.0,5.0,,Complete,90.83333,A,30.0,49.0,,,,20,,,A,93.02083,A,101.80327,71.53846,100,0.0
,96.5,9,10.0,5.0,20.0,5.0,19.0,4.0,18.5,,,,,,,,,,,,,,,,,,,,75.41666,C,0.0,,,,,6,,,,20.10416,F,23.44262,0.0,30,0.0
,374.0,,10.0,4.5,20.0,5.0,17.0,5.0,16.0,5.0,15.0,5.0,16.0,0.0,0.0,4.0,16.5,4.5,15.0,4.0,20.0,4.0,18.0,37.0,47.0,4.0,,Complete,81.25,B,20.5,44.0,,,,17,,,C,77.91666,C,84.91803,64.61538,85,0.0
,445.0,9,10.0,4.5,19.0,2.0,18.5,5.0,18.0,4.5,20.0,5.0,20.0,5.0,19.0,5.0,20.0,4.0,20.0,4.0,20.0,4.0,20.0,41.0,48.0,5.0,,Complete,92.08333,A,26.0,48.5,,,,20,0.0,92.63157,A,92.70833,A,102.29508,68.46153000000001,100,0.0
,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,F,,,,,,6,,,,1.25,F,0.0,0.0,30,0.0
,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,F,,,,,,6,,,,1.25,F,0.0,0.0,30,0.0
,379.75,9,8.0,5.0,20.0,5.0,20.0,5.0,16.75,5.0,20.0,5.0,0.0,0.0,0.0,3.5,18.5,3.5,18.0,5.0,20.0,3.5,19.0,44.0,46.0,,,,94.79166,A,30.0,30.0,,,,20,,80.0,B,79.11458,C,82.86885,69.23076,100,0.0
,446.5,9,10.0,5.0,20.0,5.0,19.0,5.0,18.5,4.5,20.0,5.0,18.0,4.5,18.0,4.0,18.5,5.0,19.5,4.0,20.0,5.0,20.0,38.0,52.0,,,,96.66666,A,30.0,49.0,,,,20,,94.0,A,93.02083,A,104.09836,69.23076,100,0.0
,443.0,10,10.0,5.0,20.0,5.0,19.0,5.0,20.0,4.0,20.0,5.0,20.0,4.5,20.0,0.0,0.0,3.5,19.5,3.5,20.0,5.0,18.0,50.0,55.0,5.0,,Complete,98.33333,A,27.0,49.0,,,,20,,93.26315,A,92.29166,A,96.06557,80.76923000000001,100,0.0
