Weighted Total [Total Pts: up to 0 Percentage] |1576204,Total [Total Pts: up to 480 Score] |1576203,Academic Integrity Quiz [Total Pts: 10 Score] |1626325,Syllabus Quiz [Total Pts: 10 Score] |1626326,Pre-Lab 1 [Total Pts: 5 Score] |1626327,Lab 1 [Total Pts: 20 Score] |1626328,Pre-Lab 2 [Total Pts: 5 Score] |1626329,Lab 2 [Total Pts: 20 Score] |1626330,Pre-Lab 3 [Total Pts: 5 Score] |1626331,Lab 3 [Total Pts: 20 Score] |1626332,Pre-Lab 4 [Total Pts: 5 Score] |1626333,Lab 4 [Total Pts: 20 Score] |1626334,Pre-Lab 5 [Total Pts: 5 Score] |1626335,Lab 5 [Total Pts: 20 Score] |1626336,Pre-Lab 6 [Total Pts: 5 Score] |1626337,Lab 6 [Total Pts: 20 Score] |1626338,Pre-Lab 7 [Total Pts: 5 Score] |1626339,Lab 7 [Total Pts: 20 Score] |1626340,Pre-Lab 8 [Total Pts: 5 Score] |1626341,Lab 8 [Total Pts: 20 Score] |1626342,Pre-Lab 9 [Total Pts: 5 Score] |1626343,Lab 9 [Total Pts: 20 Score] |1626344,Pre-Lab 10 [Total Pts: 0 Score] |1626345,Lab 10 [Total Pts: 0 Score] |1626346,Exam 1 [Total Pts: 65 Score] |1626368,Exam 2 [Total Pts: 65 Score] |1626374,Documentary Review Extra Credit [Total Pts: 0 Score] |1626362,Misc. Extra Credit [Total Pts: 0 Score] |1626371,ANTH 105 Midterm Instruction Assessment [Total Pts: 0 Complete/Incomplete] |1626363,Midterm Grade Percentage Column [Total Pts: up to 120 Percentage] |1626364,Midterm Letter Grade [Total Pts: 0 Text] |1626365,Lincoln Park Zoo Assignment [Total Pts: 30 Score] |1626369,Field Museum Scavenger Hunt [Total Pts: 50 Score] |1626370,Date Last Attendance [Total Pts: 0 Text] |1626376,Documentary Lab Questions [Total Pts: 25 Score] |1626367,Food Allergies Survey [Total Pts: 0 Complete/Incomplete] |1626324,Sli.do total [Total Pts: 0 Text] |1691825,Inquizitive extra credit [Total Pts: 0 Text] |1695424,Incomplete: Final Total Points [Total Pts: 475 Percentage] |1626372,Incomplete: Final Letter Grade [Total Pts: 100 Text] |1626373,Final Grade Percentage [Total Pts: up to 480 Percentage] |2289825,Final Grade Letter [Total Pts: up to 480 Letter] |2289813,Total Assignment Percentage [Total Pts: up to 305 Percentage] |2291828,Total Exam Percentage [Total Pts: up to 130 Percentage] |2291829,Total Attendance Percentage [Total Pts: 0 Score] |2291839,Total Extra Credit [Total Pts: 0 Score] |2291840
,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,F,,,,,,6,,,,1.25,F,0.0,0.0,30,0.0
,370.5,8,10.0,5.0,20.0,3.0,15.5,3.0,16.5,5.0,20.0,5.0,17.25,4.0,16.75,2.0,17.0,2.5,20.0,2.0,20.0,3.0,18.0,22.0,40.0,,,Complete,88.33333,B,27.0,40.0,,,,8,0.0,78.10526,C,77.1875,C,92.62295,47.6923,40,0.0
,452.5,10,10.0,4.5,20.0,4.0,18.5,5.0,15.0,4.5,20.0,5.0,20.0,4.5,20.0,5.0,20.0,5.0,20.0,3.5,20.0,5.0,20.0,44.0,49.0,5.0,,Complete,92.91666,A,29.0,49.5,,,,16,0.5,94.21051999999999,A,94.27083,A,104.26229000000001,71.53846,80,0.5
,400.0,10,9.0,4.0,20.0,3.0,16.0,5.0,18.5,5.0,20.0,5.0,19.0,5.0,17.0,3.0,16.0,5.0,18.0,4.0,20.0,0.0,0.0,39.0,45.0,,,,92.08333,A,27.0,47.5,,,,19,,,B,83.33333,B,91.14754,64.61538,95,0.0
,487.25,9,10.0,4.5,20.0,5.0,19.5,5.0,18.75,5.0,20.0,5.0,18.0,4.5,19.0,4.5,18.5,5.0,20.0,5.0,20.0,5.0,19.0,59.0,59.0,5.0,,Complete,97.29166,A,30.0,49.0,,,,20,5.0,101.52631,A,101.51041,A,105.0,90.76923000000001,100,5.0
,367.0,6,7.0,1.5,19.0,0.0,19.0,1.0,15.5,5.0,18.0,4.0,17.0,5.0,19.0,5.0,16.5,0.0,0.0,2.5,20.0,4.0,18.0,27.0,38.0,0.0,,Complete,76.66666,C,29.0,50.0,,,,20,0.0,,C,76.45833,C,88.19672,50.0,100,0.0
,432.0,10,10.0,5.0,20.0,5.0,18.0,5.0,17.5,5.0,18.0,5.0,19.0,5.0,19.0,5.0,19.0,5.0,20.0,0.0,0.0,5.0,16.5,50.0,54.0,,,Complete,94.58333,A,27.0,49.0,,,,20,,90.94736,A,90.0,A,94.42622,80.0,100,0.0
,409.5,9,10.0,4.5,20.0,5.0,20.0,5.0,18.5,4.0,19.0,5.0,20.0,2.0,18.0,2.5,17.0,3.0,20.0,5.0,19.0,0.0,20.0,36.0,38.0,,,Complete,95.83333,A,29.0,45.0,,,,15,,86.31578,B,85.3125,B,98.85245,56.923069999999996,75,0.0
,481.5,10,10.0,4.0,20.0,5.0,20.0,5.0,19.5,5.0,20.0,4.0,19.5,5.0,20.0,5.0,19.5,5.0,20.0,5.0,20.0,5.0,18.0,53.0,60.0,5.0,,Complete,98.75,A,30.0,49.0,,,,20,,101.36842,A,100.3125,A,106.06557,86.92307,100,0.0
,419.0,8,8.0,0.0,0.0,5.0,17.0,5.0,12.5,4.0,20.0,5.0,17.0,4.0,20.0,4.0,20.0,3.0,20.0,5.0,20.0,5.0,20.0,45.0,55.0,5.0,,Complete,66.25,D,29.5,50.0,,,,12,,,B,87.29166,B,93.77049,76.92307,60,0.0
,394.5,10,10.0,4.5,18.0,2.0,16.5,3.0,15.0,,,5.0,20.0,4.5,19.0,5.0,19.0,2.5,20.0,3.0,20.0,5.0,20.0,39.0,47.0,,,,65.83333,D,29.0,49.5,,,,8,,83.05263000000001,B,82.1875,B,91.96721,66.15384,40,0.0
,436.5,8,9.0,0.0,19.0,5.0,19.0,5.0,18.0,4.5,18.0,5.0,19.0,3.5,17.5,5.0,17.0,3.5,19.5,4.0,20.0,4.5,19.0,45.0,50.0,5.0,,Complete,87.91666,B,25.0,48.5,,,,20,,91.89473000000001,A,90.9375,A,98.19672,73.07692,100,0.0
,379.25,,10.0,1.5,19.0,5.0,18.0,5.0,19.0,3.0,16.0,2.0,17.0,3.5,17.0,3.0,18.0,3.0,17.5,4.0,20.0,5.0,20.0,21.0,37.0,,,Complete,80.41666,B,28.75,47.0,,,,19,,79.8421,C,79.01041,C,95.81967,44.61538,95,0.0
,468.0,10,10.0,5.0,20.0,5.0,20.0,5.0,19.5,5.0,16.5,4.0,18.0,4.5,20.0,5.0,19.0,5.0,19.5,5.0,20.0,5.0,20.0,50.0,57.0,,,,96.66666,A,30.0,50.0,,,,20,,,A,97.5,A,105.2459,82.30769000000001,100,0.0
,367.75,,,0.0,19.0,4.0,19.0,0.0,0.0,0.0,0.0,5.0,18.0,4.0,14.25,4.5,18.5,5.0,17.0,5.0,19.0,5.0,17.0,52.0,51.0,,,,35.0,F,22.5,50.0,,,,18,,77.47368,C,76.61458,C,80.90163000000001,79.23076,90,0.0
,450.0,10,10.0,5.0,20.0,5.0,19.0,5.0,18.5,4.5,19.5,4.0,18.5,5.0,20.0,3.5,19.0,5.0,19.5,5.0,20.0,5.0,20.0,44.0,47.0,,,Complete,97.08333,A,30.0,48.0,,,,20,,94.73684,A,93.75,A,104.59016,70.0,100,0.0
,374.0,10,9.0,3.0,17.0,5.0,14.0,4.0,16.5,5.0,19.5,4.0,20.0,4.0,17.0,0.0,0.0,2.5,18.5,4.0,20.0,4.0,18.0,37.0,42.0,,,,85.83333,B,28.0,44.0,,,,8,,,C,77.91666,C,87.86885,60.76923000000001,40,0.0
,433.5,,9.0,4.5,20.0,5.0,19.0,5.0,17.0,5.0,18.0,5.0,20.0,4.0,18.0,5.0,19.0,4.5,16.0,4.0,20.0,4.5,18.0,50.0,45.0,,,,85.41666,B,30.0,48.0,,,,20,,,A,90.3125,A,101.4754,73.07692,100,0.0
,453.0,9,10.0,5.0,20.0,5.0,18.0,5.0,16.0,5.0,20.0,5.0,18.0,5.0,19.5,5.0,18.5,5.0,20.0,5.0,20.0,5.0,20.0,46.0,48.0,0.0,,Complete,94.16666,C,30.0,50.0,,,,20,,,A,94.375,A,104.91803,72.30769000000001,100,0.0
,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,F,,,,,,6,,,,1.25,F,0.0,0.0,30,0.0
,333.0,9,10.0,4.0,20.0,3.0,19.0,4.0,18.0,5.0,19.0,3.5,18.5,5.0,18.5,5.0,19.5,0.0,10.0,0.0,0.0,0.0,0.0,42.0,0.0,,,Complete,92.5,A,30.0,50.0,,,,20,,70.10526,C,69.375,D,82.62295,32.30769,100,0.0
,456.0,9,10.0,5.0,20.0,3.0,18.0,5.0,18.5,3.0,19.0,5.0,20.0,5.0,17.0,5.0,18.5,5.0,19.0,3.0,20.0,5.0,20.0,53.0,50.0,5.0,,Complete,92.08333,B,30.0,50.0,,,,14,1.0,91.78947,A,95.0,A,102.95081,79.23076,70,1.0
,459.5,9,10.0,5.0,20.0,5.0,20.0,5.0,19.5,5.0,19.5,5.0,20.0,5.0,19.5,5.0,20.0,5.0,20.0,4.0,20.0,5.0,20.0,46.0,48.0,,,,98.33333,A,30.0,49.0,,,,20,,,A,95.72916,A,107.04918,72.30769000000001,100,0.0
,473.0,10,10.0,2.5,19.0,5.0,20.0,5.0,18.0,5.0,20.0,5.0,18.5,5.0,19.0,5.0,18.5,5.0,20.0,5.0,20.0,4.5,19.0,57.0,60.0,,,Complete,95.41666,A,28.0,49.0,,,,20,,99.57894,A,98.54166,A,103.60655,90.0,100,0.0
,446.5,8,10.0,5.0,20.0,5.0,20.0,5.0,20.0,5.0,20.0,5.0,19.0,5.0,20.0,4.5,18.0,5.0,17.5,4.0,20.0,5.0,19.0,44.0,54.0,,,Complete,98.33333,A,27.0,48.5,,,,13,,94.0,A,93.02083,A,104.09836,75.38461,65,0.0
,427.5,8,10.0,5.0,20.0,3.0,19.0,5.0,18.0,5.0,20.0,5.0,17.5,4.5,18.0,4.0,19.5,5.0,19.0,5.0,20.0,5.0,18.0,39.0,34.0,5.0,,Complete,94.16666,A,30.0,50.0,,,,16,0.0,89.05263000000001,A,89.0625,B,103.44261999999999,56.15384,80,0.0
,425.5,9,9.0,4.5,20.0,5.0,18.0,5.0,18.5,5.0,19.0,5.0,19.0,3.0,19.0,0.0,0.0,4.5,18.0,5.0,20.0,4.0,19.0,53.0,55.0,,,,94.16666,A,24.0,46.0,,,,18,,,A,88.64583,B,92.29508,83.07692,90,0.0
,434.0,8,10.0,3.0,19.0,3.0,16.0,5.0,19.0,5.0,19.5,4.0,18.0,4.5,19.0,4.0,18.5,4.75,17.5,3.0,20.0,5.0,20.0,43.0,48.0,5.0,,Complete,89.58333,A,24.25,48.0,,,,20,,91.36842,A,90.41666,A,98.36065,70.0,100,0.0
,464.5,10,9.0,5.0,19.0,5.0,20.0,5.0,18.5,5.0,19.0,5.0,19.0,5.0,20.0,5.0,20.0,5.0,20.0,0.0,20.0,5.0,20.0,53.0,52.0,,,Complete,96.25,A,30.0,50.0,,,,20,,97.78947,A,96.77083,A,105.08196000000001,80.76923000000001,100,0.0
,447.5,10,10.0,5.0,19.0,5.0,18.5,5.0,19.5,5.0,20.0,4.0,17.0,5.0,20.0,5.0,19.5,4.5,19.5,4.0,20.0,5.0,20.0,48.0,47.0,,,,97.5,A,30.0,50.0,,,,12,,93.78947,A,93.22916,A,105.08196000000001,73.07692,60,0.0
,411.5,,,5.0,20.0,3.0,17.0,5.0,18.0,5.0,19.5,5.0,20.0,4.0,20.0,3.0,18.5,4.5,19.0,4.0,20.0,5.0,20.0,31.0,44.0,5.0,,Complete,77.08333,C,27.0,50.0,,,,19,,,B,85.72916,B,102.45900999999999,57.6923,95,0.0
,245.0,9,10.0,5.0,20.0,5.0,14.5,0.0,0.0,5.0,20.0,4.0,18.0,4.5,19.0,3.0,20.0,,,,,,,50.0,0.0,,,,73.75,F,24.0,0.0,10/31/19,,,14,,51.57894,F,51.04166,F,53.11475,38.461529999999996,70,0.0
,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,F,,,,,,6,,,,1.25,F,0.0,0.0,30,0.0
,447.0,7,7.0,5.0,16.0,5.0,18.0,5.0,19.5,3.5,20.0,5.0,19.0,5.0,20.0,5.0,18.0,4.5,20.0,5.0,20.0,5.0,19.0,49.0,52.0,,,Needs Grading,88.33333,B,27.5,47.0,,,,20,,94.10526,A,93.125,A,102.29508,77.6923,100,0.0
,423.5,9,9.0,5.0,20.0,5.0,19.0,4.0,19.0,5.0,19.5,5.0,20.0,5.0,20.0,5.0,18.0,5.0,20.0,5.0,20.0,0.0,0.0,47.0,37.0,5.0,,Complete,95.41666,A,27.0,50.0,,,,20,,,B,88.22916,B,97.21311,64.61538,100,0.0
,404.5,8,8.0,3.5,19.5,5.0,17.0,5.0,20.0,5.0,20.0,5.0,19.0,4.5,18.0,1.5,18.5,5.0,20.0,4.5,20.0,5.0,20.0,29.0,30.0,,,Complete,92.5,A,23.5,50.0,,,,20,,85.26315,B,84.27083,B,101.4754,45.384609999999995,100,0.0
,446.0,9,10.0,5.0,18.0,3.0,16.0,5.0,20.0,5.0,20.0,5.0,20.0,5.0,19.0,5.0,20.0,4.5,20.0,4.0,20.0,5.0,20.0,47.0,41.0,,,Complete,92.5,A,30.0,49.5,,,,20,0.0,93.89473000000001,A,92.91666,A,104.59016,67.6923,100,0.0
,452.5,9,8.0,3.5,20.0,5.0,18.0,5.0,18.0,5.0,20.0,5.0,20.0,4.5,19.0,5.0,20.0,4.5,20.0,5.0,20.0,4.5,20.0,45.0,50.0,,,Complete,92.91666,A,29.0,49.5,,,,20,,95.26315,A,94.27083,A,105.08196000000001,73.07692,100,0.0
,422.5,9,9.0,3.5,19.0,3.0,18.0,5.0,17.5,5.0,20.0,5.0,20.0,5.0,18.0,4.0,16.5,4.0,19.0,4.5,20.0,4.5,17.0,40.0,41.0,,,Complete,90.83333,A,27.5,47.5,,,,20,,88.94736,B,88.02083,B,99.50819,62.30769,100,0.0
,383.25,,,5.0,20.0,5.0,20.0,5.0,15.5,5.0,20.0,5.0,17.75,0.0,0.0,4.5,17.0,3.5,17.0,3.5,20.0,4.5,18.0,44.0,38.0,5.0,,Complete,79.58333,F,30.0,50.0,,,,10,,79.63157,B,79.84375,C,93.85245,63.076919999999994,50,0.0
,415.5,9,10.0,5.0,20.0,3.0,18.0,3.0,18.0,0.0,0.0,4.0,20.0,4.0,19.0,4.5,15.0,3.5,18.0,5.0,20.0,5.0,19.0,43.0,58.0,5.0,,Complete,71.66666,C,23.5,47.0,,,,16,0.0,,B,86.5625,B,90.0,77.6923,80,0.0
,404.75,9,10.0,5.0,20.0,5.0,16.5,4.0,13.5,4.5,18.5,5.0,17.0,3.5,19.0,3.0,19.5,0.0,0.0,4.0,20.0,5.0,20.0,39.0,44.0,,,Complete,88.33333,B,29.75,50.0,,,,20,,85.21051999999999,B,84.32291,B,92.70491,63.84615,100,0.0
,423.5,9,9.0,5.0,20.0,2.0,19.0,5.0,19.5,0.0,0.0,5.0,20.0,0.0,0.0,5.0,20.0,5.0,20.0,5.0,20.0,5.0,20.0,57.0,61.0,5.0,,Complete,73.75,C,30.0,45.0,,,,12,,,B,88.22916,B,88.68852,90.76923000000001,60,0.0
,400.5,8,9.0,4.5,19.0,1.0,17.0,3.0,19.0,3.5,20.0,3.0,18.0,3.5,19.0,3.0,18.5,4.0,17.0,2.5,20.0,5.0,19.0,35.0,35.0,,,,86.66666,B,28.0,47.0,,,,19,0.0,84.31578,B,83.4375,B,96.55736999999999,53.84615,95,0.0
,470.5,9,10.0,4.0,20.0,5.0,19.5,3.0,20.0,5.0,20.0,5.0,18.5,4.5,18.5,5.0,19.0,5.0,19.0,5.0,20.0,4.5,19.0,48.0,60.0,5.0,,Complete,96.25,A,30.0,49.0,,,,20,,99.05263000000001,A,98.02083,A,104.42622,83.07692,100,0.0
,368.25,10,10.0,5.0,20.0,4.0,18.0,5.0,20.0,5.0,20.0,5.0,18.75,5.0,18.5,3.5,19.0,0.0,0.0,3.5,20.0,5.0,20.0,33.0,37.0,,,,97.5,A,5.0,40.0,,,,18,,77.52631,C,76.71875,C,85.32786,53.84615,90,0.0
,394.0,9,10.0,4.5,13.0,3.0,15.0,5.0,17.0,5.0,20.0,5.0,20.0,4.5,19.0,,9.0,4.5,19.0,4.0,20.0,5.0,20.0,29.0,41.0,5.0,,,84.58333,B,24.0,47.5,,,,16,,81.89473000000001,B,82.08333,B,93.11475,53.84615,80,0.0
,400.0,10,10.0,5.0,20.0,5.0,18.0,4.0,18.0,4.0,20.0,4.0,19.0,4.5,19.0,0.0,0.0,0.0,9.5,5.0,20.0,5.0,20.0,51.0,50.0,,,,95.0,A,25.0,40.0,,,,14,,84.21051999999999,B,83.33333,B,86.88524,77.6923,70,0.0
,462.5,10,10.0,5.0,20.0,5.0,20.0,5.0,19.0,5.0,20.0,5.0,18.0,5.0,19.0,5.0,19.5,5.0,20.0,5.0,20.0,5.0,20.0,44.0,56.0,,,Complete,99.16666,A,27.0,50.0,,,,20,,97.36842,A,96.35416,A,105.7377,76.92307,100,0.0
,447.5,8,9.0,5.0,20.0,5.0,18.0,5.0,19.5,5.0,20.0,5.0,19.0,4.5,20.0,4.0,17.5,5.0,19.0,5.0,20.0,5.0,20.0,38.0,51.0,,,,95.41666,A,30.0,50.0,,,,20,,94.21051999999999,A,93.22916,A,105.40983,68.46153000000001,100,0.0
,462.0,8,10.0,5.0,18.0,5.0,19.0,5.0,18.0,5.0,20.0,4.0,18.0,5.0,19.5,5.0,19.0,5.0,20.0,5.0,20.0,5.0,18.5,51.0,53.0,5.0,,Complete,94.16666,A,28.0,48.0,,,,20,0.0,97.26315,A,96.25,A,103.27868000000001,80.0,100,0.0
,467.0,10,9.0,5.0,19.0,4.0,19.0,5.0,17.5,5.0,20.0,4.0,19.0,5.0,18.0,5.0,16.5,4.5,18.5,4.0,20.0,5.0,20.0,55.0,59.0,,,Complete,94.58333,A,30.0,50.0,,,,20,,98.31578,A,97.29166,A,102.95081,87.6923,100,0.0
,447.5,10,10.0,2.5,18.0,1.0,19.5,4.0,19.0,4.0,20.0,4.0,16.0,4.0,20.0,5.0,20.0,5.0,20.0,4.5,20.0,5.0,20.0,39.0,47.0,5.0,,Complete,90.0,B,30.0,50.0,,,,20,5.0,,A,93.22916,A,102.13114,66.15384,100,5.0
,447.0,10,10.0,3.5,20.0,5.0,20.0,5.0,16.5,5.0,20.0,5.0,20.0,4.5,18.5,5.0,19.5,5.0,20.0,5.0,20.0,0.0,0.0,55.0,57.0,,,Complete,95.83333,A,27.5,50.0,,,,20,,94.10526,A,93.125,A,96.72131,86.15384,100,0.0
,452.0,10,10.0,4.5,20.0,1.0,17.0,5.0,18.0,5.0,20.0,3.0,20.0,4.0,19.0,5.0,20.0,4.5,20.0,3.0,20.0,4.5,20.0,50.0,52.0,,,,92.08333,A,27.0,49.5,,,,20,,95.15789000000001,A,94.16666,A,101.63934,78.46153000000001,100,0.0
,385.5,9,8.0,2.5,19.0,4.0,13.0,5.0,17.5,5.0,17.0,5.0,17.5,4.5,17.0,3.0,17.0,2.5,19.0,2.0,20.0,1.5,19.0,36.0,39.0,,,,83.33333,B,17.5,47.0,,,,18,,,B,80.3125,B,90.32786,57.6923,90,0.0
,469.5,10,8.0,5.0,19.0,5.0,19.0,5.0,20.0,5.0,20.0,5.0,20.0,4.5,20.0,5.0,18.5,3.5,20.0,4.0,20.0,5.0,20.0,49.0,61.0,,,,96.66666,A,30.0,50.0,,,,18,,,A,97.8125,A,106.06557,84.61538,90,0.0
,370.0,10,8.0,5.0,20.0,4.0,18.0,5.0,19.0,0.0,0.0,5.0,18.0,5.0,20.0,4.0,18.0,,,5.0,20.0,5.0,20.0,34.0,40.0,,,,74.16666,C,25.0,50.0,,,,12,,77.89473000000001,C,77.08333,C,87.21311,56.923069999999996,60,0.0
,398.5,9,9.0,4.5,20.0,1.0,19.0,3.0,18.5,5.0,19.0,5.0,20.0,5.0,19.0,0.0,0.0,3.0,20.0,5.0,20.0,5.0,20.0,35.0,38.0,,,Complete,90.0,B,29.5,47.0,,,,19,0.0,83.89473000000001,B,83.02083,B,94.59016,56.15384,95,0.0
,432.25,,10.0,5.0,20.0,5.0,18.0,5.0,19.0,5.0,19.0,5.0,19.25,4.5,16.5,4.5,18.5,5.0,20.0,4.5,20.0,5.0,20.0,41.0,43.0,,,Complete,88.33333,B,29.5,50.0,,,,20,,91.0,A,90.05208,A,104.34425999999999,64.61538,100,0.0
,464.5,10,10.0,5.0,20.0,5.0,20.0,5.0,18.5,5.0,19.0,5.0,19.0,5.0,20.0,4.0,20.0,5.0,20.0,5.0,20.0,5.0,20.0,45.0,49.0,5.0,,Complete,97.91666,A,30.0,50.0,,,,20,,,A,96.77083,A,106.72131,72.30769000000001,100,0.0
,428.5,8,10.0,5.0,20.0,5.0,16.0,3.0,16.5,5.0,18.0,5.0,19.0,4.0,17.0,4.0,19.0,5.0,16.0,5.0,20.0,4.5,19.0,47.0,42.0,4.0,,Complete,88.75,B,23.5,48.0,,,,20,,,A,89.27083,B,97.54098,68.46153000000001,100,0.0
,430.5,9,9.0,5.0,20.0,1.0,19.0,4.0,18.5,5.0,20.0,4.0,18.0,4.0,20.0,5.0,19.5,4.0,20.0,3.5,20.0,5.0,20.0,34.0,40.0,,,Complete,92.08333,A,30.0,50.0,,,,20,3.0,,A,89.6875,B,103.44261999999999,56.923069999999996,100,3.0
,408.0,9,9.0,4.5,20.0,2.0,20.0,0.0,0.0,5.0,18.0,5.0,18.5,4.5,18.0,4.0,19.0,4.5,19.0,3.5,20.0,4.5,18.0,48.0,38.0,,,Complete,72.91666,C,28.5,47.5,,,,20,,85.89473000000001,B,85.0,B,93.11475,66.15384,100,0.0
,385.0,9,10.0,4.0,20.0,5.0,20.0,4.0,18.5,4.5,18.0,0.0,0.0,4.5,19.0,5.0,19.5,0.0,0.0,4.0,20.0,4.0,15.0,38.0,53.0,5.0,,,94.16666,B,29.0,48.0,,,,8,,81.05263000000001,B,80.20833,B,85.90163000000001,70.0,40,0.0
,423.0,6,10.0,5.0,16.0,4.0,20.0,5.0,19.0,5.0,20.0,4.0,20.0,5.0,19.0,4.0,19.0,5.0,20.0,5.0,20.0,5.0,20.0,34.0,43.0,,,Complete,91.66666,B,30.0,49.0,,,,11,,89.05263000000001,B,88.125,B,104.59016,59.23076,55,0.0
,414.0,10,10.0,3.0,20.0,5.0,19.0,5.0,18.5,4.5,19.0,4.5,18.5,4.5,18.5,3.5,19.0,5.0,18.5,4.0,20.0,5.0,18.0,30.0,34.0,5.0,,,95.0,A,25.0,47.0,,,,20,,87.15789000000001,B,86.25,B,100.0,49.23076,100,0.0
,366.5,10,9.0,3.0,19.0,5.0,18.0,5.0,16.5,5.0,20.0,5.0,19.0,5.0,17.0,3.0,16.0,3.0,19.0,5.0,20.0,5.0,19.0,42.0,40.0,5.0,,Complete,92.08333,B,25.0,0.0,,,,8,,,C,76.35416,C,82.78688000000001,63.076919999999994,40,0.0
,421.0,8,10.0,5.0,20.0,5.0,19.0,4.0,19.0,5.0,20.0,4.0,19.0,0.0,0.0,5.0,17.5,3.0,19.5,4.0,20.0,5.0,20.0,47.0,48.0,,,Complete,95.83333,A,30.0,50.0,,,,14,0.0,88.63157,B,87.70833,B,96.39344,73.07692,70,0.0
,463.5,10,10.0,5.0,17.0,5.0,19.0,5.0,18.5,5.0,20.0,4.0,19.0,5.0,19.5,5.0,19.5,5.0,20.0,2.5,20.0,5.0,19.5,46.0,54.0,5.0,,Complete,95.41666,A,30.0,50.0,,,,20,,97.57894,A,96.5625,A,104.42622,76.92307,100,0.0
,461.5,10,10.0,4.5,20.0,3.0,20.0,5.0,18.5,5.0,20.0,5.0,18.0,3.0,19.0,5.0,17.0,5.0,20.0,5.0,20.0,2.5,19.0,52.0,51.0,5.0,,Complete,96.66666,A,30.0,49.0,,,,20,,,A,96.14583,A,102.78688000000001,79.23076,100,0.0
,475.5,9,10.0,5.0,20.0,5.0,19.0,5.0,19.0,5.0,20.0,5.0,19.5,5.0,20.0,5.0,18.0,5.0,20.0,4.0,20.0,4.0,19.0,52.0,63.0,,,Complete,97.5,A,30.0,49.0,,,,20,,100.10526,A,99.0625,A,105.40983,88.46153000000001,100,0.0
,415.0,9,10.0,5.0,19.0,4.0,18.0,5.0,17.0,4.5,20.0,5.0,19.0,4.5,19.0,5.0,19.5,5.0,19.0,5.0,20.0,0.0,0.0,40.0,45.0,,,Complete,92.91666,A,27.5,50.0,,,,20,,87.36842,B,86.45833,B,95.40983,65.38461,100,0.0
,311.5,9,10.0,4.0,20.0,1.0,16.0,3.0,16.5,2.5,17.0,5.0,19.0,0.0,0.0,0.0,5.0,0.0,9.0,3.0,20.0,0.0,6.5,32.0,33.0,,,,82.5,B,23.0,37.0,,,,20,,65.57894,D,64.89583,D,68.03278,50.0,100,0.0
