Weighted Total [Total Pts: up to 0 Percentage] |1669869,Total [Total Pts: up to 526 Score] |1669868,Total [Total Pts: up to 526 Score] |1714579,Total [Total Pts: up to 526 Score] |1714580,Academic Integrity Quiz [Total Pts: 5 Score] |1714581,Syllabus Quiz [Total Pts: 5 Score] |1714582,Pre-Lab 1 [Total Pts: 5 Score] |1714583,Lab 1 [Total Pts: 20 Score] |1714584,Pre-Lab 2 [Total Pts: 5 Score] |1714585,Lab 2 [Total Pts: 20 Score] |1714586,Pre-Lab 3 [Total Pts: 5 Score] |1714587,Lab 3 [Total Pts: 20 Score] |1714588,Pre-Lab 4 [Total Pts: 5 Score] |1714589,Lab 4 [Total Pts: 20 Score] |1714590,Pre-Lab 5 [Total Pts: 5 Score] |1714591,Lab 5 [Total Pts: 20 Score] |1714592,Pre-Lab 6 [Total Pts: 5 Score] |1714593,Lab 6 [Total Pts: 20 Score] |1714594,Lab 7 (Lab and Pre-Lab) [Total Pts: 25 Score] |1768501,Lab 8 (Lab and Pre-Lab) [Total Pts: 25 Score] |1786205,Lab 9 (Lab and Pre-lab) [Total Pts: 25 Score] |1786215,Lab 10 (Lab and Pre-lab) [Total Pts: 25 Score] |1786216,Lab 11 (Lab and Pre-Lab) [Total Pts: 25 Score] |1786220,Exam 1 [Total Pts: 40 Score] |1714603,Exam 2 [Total Pts: 40 Score] |1714604,Final Exam_SP2020 [Total Pts: 50 Score] |1803762,Documentary Review Extra Credit [Total Pts: 0 Score] |1714605,Misc. Extra Credit [Total Pts: 0 Score] |1714606,End of the semester survey [Total Pts: 0 Complete/Incomplete] |1799624,Resources Survey [Total Pts: 0 Complete/Incomplete] |1768127,ANTH 105 Midterm Instruction Assessment [Total Pts: 0 Complete/Incomplete] |1714607,Midterm Grade Percentage Column [Total Pts: up to 156 Percentage] |1714608,Midterm Letter Grade [Total Pts: 0 Text] |1714609,Lincoln Park Zoo Assignment [Total Pts: 30 Score] |1714610,Submit Field Museum assignment here [Total Pts: 45 Score] |1789066,Final Percentage [Total Pts: 480 Percentage] |1714612,Final Letter Grade [Total Pts: 100 Text] |1714613,Date Last Attendance [Total Pts: 0 Text] |1714614,Sli.do total [Total Pts: 15 Text] |1714618,Inquizitive extra credit total [Total Pts: 0 Text] |1714619,InQuizitive: Chapter 1. What Is Biological Anthropology? [Total Pts: 0 Score] |1743501,InQuizitive: Chapter 2. Evolution: Constructing a Fundamental Scientific Theory [Total Pts: 0 Score] |1743502,InQuizitive: Chapter 3. Genetics: Reproducing Life and Producing Variation [Total Pts: 0 Score] |1743503,InQuizitive: Chapter 4. Genes and Their Evolution: Population Genetics [Total Pts: 0 Score] |1743504,InQuizitive: Chapter 5. Biology in the Present: Living People [Total Pts: 0 Score] |1743505,InQuizitive: Chapter 6. Biology in the Present: The Other Living Primates [Total Pts: 0 Score] |1743506,"InQuizitive: Chapter 7. Primate Sociality, Social Behavior, and Culture [Total Pts: 0 Score] |1743508",InQuizitive: Chapter 8. Fossils and Their Place in Time and Nature [Total Pts: 0 Score] |1743509,InQuizitive: Chapter 9. Primate Origins and Evolution: The First 50 Million Years [Total Pts: 0 Score] |1743510,InQuizitive: Chapter 10. Early Hominin Origins and Evolution: The Roots of Humanity [Total Pts: 0 Score] |1743511,InQuizitive: Chapter 11. The Origins and Evolution of Early <i>Homo</i> [Total Pts: 0 Score] |1743512,"InQuizitive: Chapter 12. The Origins, Evolution, and Dispersal of Modern People [Total Pts: 0 Score] |1743513","InQuizitive: Chapter 13. The Past 10,000 Years: Agriculture, Population, Biology [Total Pts: 0 Score] |1743514",Sli.do midterm total [Total Pts: 6 Text] |1767091,Discussion Question: Week 1 [Total Pts: 10 Score] |1861094,Total Assignment Percentage [Total Pts: up to 350 Percentage] |2292055,Total Exam Percentage [Total Pts: up to 130 Percentage] |2292056,Total Attendance Percentage [Total Pts: up to 15 Percentage] |2292058,Total Extra Credit [Total Pts: 0 Score] |2292061
,452.5,452.5,452.5,4,5,5.0,20.0,2.5,20.0,4.0,17.0,4.0,20.0,5.0,20.0,4.0,20.0,22.5,25,25.0,25,25.0,28.0,32.0,41.0,,2.0,Complete,Complete,Complete,86.85897,B,29.0,43.5,93.22916,A,,,,,,,,,,,,,,,,,6.0,,96.14285,77.6923,0.0,2.0
,346.5,346.5,346.5,4.5,4,5.0,20.0,4.0,16.0,5.0,17.0,0.0,0.0,3.5,20.0,4.0,18.0,0.0,21,23.5,23,25.0,23.0,16.0,34.0,0.0,1.0,,,Complete,66.98716999999999,D,0.0,39.0,71.14583,C,,15.0,,,,,,,,,,,,,,,6.0,,69.71428,56.15384,100.0,1.0
,439.0,439.0,439.0,4.5,5,4.0,20.0,5.0,18.0,5.0,19.5,0.0,0.0,3.5,20.0,4.5,17.5,22.0,22.5,25.0,25,25.0,27.0,36.0,45.0,0.0,1.0,Complete,Complete,,70.51281999999999,C,27.0,45.0,91.25,A,,11.0,,,,,,,,,,,,,,0.0,2.0,,88.14285,83.07692,73.33333,1.0
,459.5,459.5,459.5,5,5,5.0,20.0,5.0,19.0,5.0,16.5,5.0,20.0,4.0,20.0,4.5,19.5,24.0,24.5,24.0,24,0.0,28.0,39.0,48.0,0.0,3.0,Complete,Complete,Complete,89.74358000000001,A,24.5,44.0,94.375,A,,15.0,2.5,,,,,0.5,,,,,0.5,0.5,0.5,0.5,6.0,,88.14285,88.46153000000001,100.0,5.5
,458.5,458.5,458.5,5,5,4.5,20.0,5.0,18.5,5.0,20.0,4.0,19.5,5.0,20.0,5.0,19.0,25.0,23,25.0,25,0.0,34.0,36.0,45.0,0.0,3.0,Complete,Complete,Complete,93.26923000000001,A,26.0,45.0,95.10416,A,,14.0,,,,,,,,,,,,,,,5.0,,89.85714,88.46153000000001,93.33333,3.0
,442.0,442.0,442.0,In Progress,5,4.5,19.0,3.0,19.0,4.0,20.0,5.0,18.5,5.0,20.0,4.0,20.0,24.5,22,24.0,21,25.0,24.0,25.0,37.0,,2.0,Complete,Complete,In Progress,81.41025,B,29.5,44.0,86.66666,B,,14.0,,,,,,,,,,,,,,,5.0,,94.85714,66.15384,93.33333,2.0
,418.5,418.5,418.5,4,5,5.0,20.0,3.0,19.0,5.0,18.0,0.0,0.0,4.0,16.0,4.0,20.0,23.0,25,23.0,24,25.0,24.0,23.0,39.0,,1.0,Complete,,Complete,68.58974,D,28.5,44.0,86.5625,B,,13.0,,,,,,,,,,,,,,,4.0,,87.57141999999999,66.15384,86.66666,1.0
,407.5,407.5,407.5,5,5,5.0,19.0,5.0,20.0,5.0,19.5,2.5,19.0,5.0,20.0,4.5,20.0,0.0,25,23.0,20,0.0,20.0,33.0,37.0,,1.0,Complete,,Complete,83.97435,B,30.0,44.0,83.64583,B,,15.0,,,,,,,,,,,,,,,6.0,,81.85714,69.23076,100.0,1.0
,346.5,346.5,346.5,4.5,5,5.0,20.0,5.0,20.0,5.0,19.0,5.0,19.0,5.0,20.0,5.0,0.0,,24,23.0,,,32.0,28.0,37.0,,1.0,Complete,,Complete,93.26923000000001,A,23.0,36.0,74.0625,C,,,,,,,,,,,,,,,,,6.0,,66.85714,74.61538,0.0,1.0
,480.0,480.0,480.0,4.5,5,4.5,19.0,2.0,18.0,4.0,16.5,5.0,19.5,5.0,20.0,5.0,20.0,24.75,22.25,23.5,24,25.0,29.0,35.0,50.0,5.0,1.0,Complete,Complete,Complete,85.25641,B,29.0,43.5,94.79166,A,,15.0,,,,,,,,,,,,,,,6.0,,94.42857,87.6923,100.0,6.0
,470.0,470.0,470.0,5,5,5.0,20.0,5.0,18.0,5.0,17.0,5.0,19.0,5.0,20.0,4.0,20.0,25.0,24,25.0,24,25.0,22.0,30.0,46.0,0.0,2.0,Complete,Complete,,84.61538,B,30.0,45.0,92.5,A,,15.0,0.0,,,,,,,,,,,,,,6.0,,97.42857,75.38461,100.0,2.0
,514.0,514.0,514.0,5,5,5.0,20.0,5.0,20.0,4.0,20.0,5.0,20.0,5.0,20.0,5.0,19.0,25.0,25,25.0,25,25.0,39.0,39.0,49.0,0.0,1.0,Complete,Complete,Complete,101.28205,A,30.0,45.0,98.33333,A,,15.0,4.0,0.5,0.5,0.5,,,0.5,0.5,0.5,0.5,0.5,,0.0,,6.0,,99.42857,97.6923,100.0,5.0
,377.0,377.0,377.0,4,5,5.0,20.0,1.0,15.0,5.0,,0.0,0.0,5.0,17.5,4.5,20.0,15.5,15,22.5,24,25.0,26.0,28.0,39.0,,1.0,Complete,,Complete,55.76923000000001,F,30.0,44.0,80.625,B,,,,,,,,,,,,,,,,,6.0,,76.85714,71.53846,0.0,1.0
,473.5,473.5,473.5,4.5,5,2.5,20.0,5.0,20.0,5.0,17.0,5.0,19.0,5.0,15.0,4.5,20.0,24.0,25,24.5,25,25.0,29.0,32.0,43.0,0.0,1.0,Complete,Complete,Complete,89.10256,B,30.0,45.0,93.22916,A,,14.0,2.5,0.5,0.5,0.5,0.5,0.0,,,,,,,,,5.0,,96.14285,80.0,93.33333,3.5
,397.0,397.0,397.0,5,4.5,5.0,20.0,5.0,16.0,3.0,18.0,5.0,18.0,5.0,17.0,,,23.0,,25.0,24,24.0,28.0,34.0,41.0,,,,,,83.01281999999999,B,30.0,44.5,84.58333,B,,,,,,,,,,,,,,,,,2.0,,80.71428,79.23076,0.0,0.0
,421.25,421.25,421.25,4.5,5,4.0,19.0,3.0,18.0,5.0,18.0,5.0,19.5,5.0,19.0,0.0,0.0,21.75,21,24.5,23.5,25.0,25.0,23.0,40.0,,1.0,Complete,,,84.61538,B,29.5,42.0,86.61458,B,,15.0,,,,,,,,,,,,,,,6.0,,86.5,67.6923,100.0,1.0
,330.0,330.0,330.0,,,4.0,18.0,5.0,20.0,5.0,20.0,3.0,20.0,5.0,17.0,3.5,19.0,21.0,,,,,26.0,27.0,28.0,,,,,,85.25641,C,27.5,37.0,66.25,D,,12.0,,,,,,,,,,,,,,,12.0,,64.28571,62.30769,80.0,0.0
,471.5,471.5,471.5,5,4,4.5,20.0,5.0,20.0,5.0,18.0,5.0,19.5,5.0,20.0,4.0,20.0,25.0,25,24.0,25,25.0,24.0,33.0,40.0,,2.0,Complete,Complete,,87.17948,B,30.0,44.5,92.1875,A,,15.0,,,,,,,,,,,,,,,6.0,,98.42857,74.61538,100.0,2.0
,497.0,497.0,497.0,3.5,5,5.0,20.0,5.0,20.0,5.0,18.0,5.0,20.0,5.0,20.0,4.5,20.0,25.0,25,25.0,24,25.0,37.0,37.0,48.0,0.0,0.0,,,,95.83333,A,29.0,45.0,97.29166,A,,15.0,0.0,,,,,,,,,,,,,,6.0,,98.71428,93.84615,100.0,0.0
,506.0,506.0,506.0,4.5,4.5,5.0,20.0,5.0,20.0,5.0,20.0,5.0,20.0,5.0,19.0,4.0,20.0,25.0,25,25.0,25,25.0,33.0,38.0,48.0,,2.0,Complete,Complete,Complete,100.64102,A,30.0,45.0,97.70833,A,,15.0,,,,,,,,,,,,,,,15.0,,99.42857,91.53846,100.0,2.0
,478.0,478.0,478.0,4.5,4.5,4.5,20.0,5.0,20.0,5.0,19.0,5.0,18.5,5.0,18.0,4.5,20.0,25.0,24,24.0,24,25.0,29.0,32.0,48.0,,2.0,Complete,Complete,Complete,90.38461,A,30.0,42.5,93.54166,A,,15.0,,,,,,,,,,,,,,,6.0,,96.85714,83.84615,100.0,2.0
,435.5,435.5,435.5,4.5,5,5.0,20.0,5.0,20.0,0.0,0.0,5.0,18.5,5.0,19.0,4.5,19.0,23.0,25,25.0,24,25.0,30.0,33.0,46.0,0.0,2.0,Complete,Complete,Complete,74.35897,C,27.0,44.0,93.02083,A,,,,,,,,,,,,,,,,,3.0,,89.71428,83.84615,0.0,2.0
,420.0,420.0,420.0,5,5,5.0,20.0,4.0,19.5,5.0,18.5,5.0,19.0,4.0,20.0,0.0,0.0,22.0,24,22.0,20,25.0,35.0,27.0,38.0,0.0,1.0,Complete,,,92.94870999999999,A,29.0,44.0,89.58333,A,,,,,,,,,,,,,,,,,4.0,,87.42857,76.92307,0.0,1.0
,440.5,440.5,440.5,5,5,5.0,20.0,0.0,18.0,4.0,20.0,3.0,18.5,5.0,19.0,0.0,19.0,25.0,24,23.5,24,25.0,23.0,30.0,43.0,,,,,Complete,80.44870999999999,B,26.5,38.0,87.1875,B,,13.0,,,,,,,,,,,,,,,4.0,,90.71428,73.84615,86.66666,0.0
,90.5,90.5,90.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,20.0,5.0,19.5,0.0,0.0,0.0,0,0.0,0,0.0,32.0,,,0.0,0.0,,Complete,,36.53846,F,0.0,0.0,,0,,9.0,0.0,,,,,,,,,,,,,,0.0,,14.14285,24.61538,60.0,0.0
,469.5,469.5,469.5,4.5,5,4.5,20.0,5.0,19.0,4.0,18.5,4.5,20.0,4.0,20.0,5.0,20.0,22.5,22.5,25.0,5,25.0,37.0,37.0,49.0,0.0,1.0,,Complete,,94.55128,A,27.5,45.0,95.83333,A,,14.0,0.5,,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,90.57141999999999,94.61538,93.33333,1.5
,391.0,391.0,391.0,4.5,5,4.0,20.0,5.0,18.0,0.0,6.5,4.5,20.0,0.0,10.0,0.0,9.0,21.0,22,25.0,0,25.0,27.0,27.0,38.0,5.0,2.0,,Complete,In Progress,78.52564,C,29.0,39.5,80.10416,B,,15.0,2.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,6.0,,73.85714,70.76923000000001,100.0,9.5
,429.5,429.5,429.5,5,5,5.0,20.0,5.0,20.0,4.0,19.0,5.0,20.0,5.0,20.0,5.0,18.5,,20.5,24.0,25,25.0,30.0,31.0,45.0,,1.0,,Complete,Complete,89.10256,B,28.5,43.0,91.5625,A,,,,,,,,,,,,,,,,,1.0,,89.28571,81.53846,0.0,1.0
,451.0,451.0,451.0,5,5,5.0,19.0,5.0,16.0,5.0,15.0,5.0,18.0,5.0,20.0,5.0,19.5,23.5,25,24.0,25,25.0,26.0,36.0,42.0,,1.0,Complete,,Complete,81.41025,B,30.0,44.0,92.08333,A,,,,,,,,,,,,,,,,,3.0,,95.42857,80.0,0.0,1.0
,419.0,419.0,419.0,5,5,5.0,18.0,4.0,18.0,5.0,19.0,5.0,17.0,5.0,20.0,4.0,18.0,24.0,25,25.0,25,0.0,24.0,28.0,40.0,,2.0,Complete,Complete,Complete,83.97435,B,29.0,45.0,90.20833,A,,,,,,,,,,,,,,,,,6.0,,88.85714,70.76923000000001,0.0,2.0
,483.5,483.5,483.5,5,5,5.0,20.0,5.0,20.0,5.0,18.0,3.5,20.0,5.0,19.0,4.0,17.5,24.5,25,25.0,23.5,25.0,29.0,32.0,45.0,,2.0,Complete,Complete,Complete,96.47435,A,27.5,45.0,93.54166,A,,15.0,,,,,,,,,,,,,,,15.0,,96.42857,81.53846,100.0,2.0
,462.25,462.25,462.25,3.5,5,4.5,19.0,2.0,19.0,5.0,16.0,5.0,20.0,5.0,19.0,5.0,20.0,24.5,20.75,24.5,13.25,25.0,29.0,31.0,49.0,5.0,2.0,Complete,Complete,Complete,85.25641,B,29.0,44.25,92.91666,A,,12.0,2.0,0.5,0.5,0.5,0.5,0.0,,,,,,,,,3.0,,91.64285,83.84615,80.0,9.0
,417.0,417.0,417.0,,,5.0,19.0,5.0,17.0,0.0,0.0,4.5,20.0,5.0,18.0,4.5,19.0,24.5,18.5,23.5,21,25.0,14.0,30.0,42.0,,1.0,Complete,,,63.14102,F,30.0,43.5,84.16666,B,,14.0,,,,,,,,,,,,,,,14.0,,86.57141999999999,66.15384,93.33333,1.0
,382.0,382.0,382.0,In Progress,4.5,5.0,18.0,3.0,18.0,4.0,16.0,2.5,18.5,4.0,20.0,0.0,18.0,10.0,12.5,12.5,21,25.0,26.0,29.0,34.0,,1.0,Complete,,,77.88461,C,30.0,29.5,76.25,C,,15.0,,,,,,,,,,,,,,,6.0,,76.42857,68.46153000000001,100.0,1.0
,480.25,480.25,480.25,5,5,5.0,19.0,5.0,18.0,5.0,18.5,5.0,19.5,5.0,18.0,5.0,19.0,24.75,23.75,19.5,25,25.0,34.0,34.0,47.0,,1.0,,Complete,,92.94870999999999,A,29.5,44.75,94.94791,A,,15.0,,,,,,,,,,,,,,,6.0,,95.5,88.46153000000001,100.0,1.0
,404.5,404.5,404.5,4.5,4.5,5.0,19.0,5.0,19.0,5.0,17.5,5.0,19.0,5.0,19.0,4.0,19.0,25.0,23,23.0,21,0.0,25.0,24.0,35.0,0.0,2.0,Complete,Complete,Complete,86.21794,B,30.0,42.0,86.5625,B,,,,,,,,,,,,,,,,,6.0,,87.28571,64.61538,0.0,2.0
,481.75,481.75,481.75,4.5,5,5.0,19.0,5.0,19.0,5.0,18.5,5.0,19.5,5.0,19.0,5.0,19.5,25.0,24.5,23.5,25,25.0,37.0,33.0,45.0,,,Complete,,,93.91025,A,28.0,44.75,94.63541,A,,13.0,,0.0,,,,,,,,,,,,,4.0,,97.21428,88.46153000000001,86.66666,0.0
,360.5,360.5,360.5,5,4.5,4.0,19.0,3.5,18.0,5.0,20.0,0.0,0.0,4.0,18.5,4.0,19.0,19.0,0,0.0,22,25.0,31.0,31.0,40.0,0.0,1.0,Complete,Complete,,74.35897,C,20.0,42.0,77.1875,C,,,,,,,,,,,,,,,,,6.0,,69.42857,78.46153000000001,0.0,1.0
,453.5,453.5,453.5,5,5,5.0,19.0,3.0,20.0,3.0,16.0,5.0,20.0,5.0,20.0,5.0,20.0,24.0,24,23.0,22,25.0,27.0,25.0,41.0,,2.0,Complete,Complete,Complete,85.89743,B,30.0,40.5,89.27083,A,,15.0,,,,,,,,,,,,,,,6.0,,94.14285,71.53846,100.0,2.0
,349.75,349.75,349.75,4.5,5,5.0,19.0,3.0,19.0,5.0,18.0,5.0,19.5,5.0,19.0,5.0,19.5,17.5,15,23.5,0,0.0,25.0,18.0,20.0,,1.0,,Complete,Complete,90.0641,A,13.5,36.25,70.46875,C,,15.0,2.0,0.5,,,0.5,,,,5.0,0.5,,,,,6.0,,70.78571,48.461529999999996,100.0,3.0
,389.5,389.5,389.5,4.5,4.5,4.5,20.0,5.0,17.0,5.0,20.0,4.5,19.5,4.5,20.0,4.5,18.5,17.0,21,0.0,24,0.0,31.0,28.0,44.0,0.0,0.0,Complete,,,90.70512,C,26.5,25.0,79.89583,B,,15.0,,,,,,,,,,,,,,,6.0,,73.28571,79.23076,100.0,0.0
,448.5,448.5,448.5,5,4.5,4.5,20.0,4.0,17.0,5.0,18.0,4.5,20.0,5.0,20.0,5.0,18.5,22.5,23.5,24.0,0,25.0,31.0,34.0,44.0,0.0,2.0,Complete,Complete,Complete,89.42307,B,28.5,44.0,92.60416,A,,15.0,,,,,,,,,,,,,,,6.0,,88.28571,83.84615,100.0,2.0
,303.0,303.0,303.0,4.5,4.5,5.0,19.0,0.0,0.0,0.0,0.0,5.0,20.0,0.0,0.0,0.0,0.0,20.0,0,20.0,25,25.0,29.0,22.0,37.0,0.0,0.0,,,,58.333330000000004,F,24.0,39.0,65.0,D,,,,,,,,,,,,,,,,,4.0,,57.71428,67.6923,0.0,0.0
,458.5,458.5,458.5,5,4,5.0,20.0,3.0,20.0,4.0,19.0,5.0,20.0,5.0,20.0,5.0,19.0,22.0,23,24.5,25,25.0,25.0,24.0,40.0,0.0,1.0,Complete,,Complete,87.17948,B,30.0,45.0,89.89583,A,,15.0,0.0,,,,,,,,,,,,,,6.0,,97.0,68.46153000000001,100.0,1.0
,467.5,467.5,467.5,4,5,5.0,19.0,5.0,20.0,5.0,16.0,5.0,18.0,5.0,17.0,4.5,20.0,23.0,25,23.0,25,25.0,24.0,32.0,42.0,5.0,1.0,,Complete,,84.61538,B,30.0,44.0,91.97916,A,,15.0,,,,,,,,,,,,,,,6.0,,95.57141999999999,75.38461,100.0,6.0
,407.5,407.5,407.5,5,4.5,5.0,20.0,3.0,18.0,4.0,17.0,0.0,7.0,3.0,20.0,4.0,19.5,18.5,25,23.5,22.5,25.0,28.0,26.0,43.0,,1.0,,Complete,,71.47435,C,13.0,44.0,83.64583,B,,9.0,,,,,,,,,,,,,,,0.0,,83.42857,74.61538,60.0,1.0
,457.5,457.5,457.5,4.5,5,5.0,19.0,4.0,18.5,5.0,19.5,5.0,18.5,5.0,18.0,5.0,19.0,24.0,24.5,23.0,23,25.0,23.0,29.0,46.0,5.0,1.0,Complete,,,86.85897,B,29.0,45.0,92.70833,A,,,,0.5,0.5,,,0.5,0.5,0.5,0.0,,0.5,0.5,0.5,,6.0,,95.71428,75.38461,0.0,6.0
,461.0,461.0,461.0,5,4.5,5.0,20.0,3.0,18.0,4.0,20.0,5.0,20.0,5.0,20.0,5.0,19.5,25.0,25,23.5,23,25.0,26.0,30.0,40.0,,1.0,Complete,,Complete,86.21794,B,29.0,43.5,90.83333,A,,13.0,,,,,,,,,,,,,,,4.0,,96.71428,73.84615,86.66666,1.0
,427.5,427.5,427.5,Needs Grading,4,4.0,20.0,3.5,19.0,5.0,18.0,4.5,19.0,5.0,20.0,4.5,18.0,23.0,21,25.0,,25.0,26.0,26.0,32.0,,,,,,88.46153000000001,B,30.0,45.0,85.9375,B,,15.0,,,,,,,,,,,,,,,15.0,,88.42857,64.61538,100.0,0.0
,457.5,457.5,457.5,4.5,3.5,4.0,20.0,5.0,18.0,5.0,16.0,4.5,20.0,5.0,20.0,5.0,19.5,21.0,20.5,24.0,22,25.0,33.0,33.0,37.0,0.0,2.0,,Complete,Complete,89.42307,B,27.0,44.0,90.20833,A,,15.0,,,,,,,,,,,,,,,6.0,,93.0,79.23076,100.0,2.0
,420.0,420.0,420.0,5,5,4.5,20.0,4.0,17.5,5.0,19.0,4.5,20.0,5.0,20.0,4.0,18.5,22.0,0,23.0,24,25.0,26.0,25.0,41.0,5.0,3.0,Complete,Complete,Complete,84.93589,B,21.0,43.0,87.70833,B,,11.0,,,,,,,,,,,,,,,2.0,,85.71428,70.76923000000001,73.33333,8.0
,434.5,434.5,434.5,3.5,5,3.5,20.0,5.0,18.0,0.0,0.0,5.0,18.5,5.0,20.0,4.5,20.0,24.0,20,23.0,23,25.0,32.0,28.0,39.0,,,,,Complete,74.67948,C,26.5,45.0,89.27083,A,,15.0,,,,,,,,,,,,,,,6.0,,87.42857,76.15384,100.0,0.0
,403.5,403.5,403.5,5,5,5.0,19.0,3.0,19.0,5.0,18.5,0.0,0.0,5.0,19.0,5.0,20.0,20.25,22.25,25.0,23.25,25.0,23.0,25.0,34.0,,1.0,,Complete,,65.70512,D,26.0,42.25,82.1875,B,,9.0,,,,,,,,,,,,,,,0.0,,86.42857,63.076919999999994,60.0,1.0
,448.0,448.0,448.0,5,5,4.5,20.0,5.0,16.0,5.0,17.5,5.0,18.0,5.0,15.5,4.5,19.0,24.5,25,24.0,23,25.0,27.0,32.0,43.0,,2.0,Complete,Complete,Complete,85.89743,B,29.5,44.0,91.35416,A,,,,,,,,,,,,,,,,,6.0,,94.28571,78.46153000000001,0.0,2.0
,446.5,446.5,446.5,5,5,4.5,18.5,4.0,19.5,5.0,20.0,5.0,20.0,5.0,18.5,24.5,19.0,25.0,24.5,23.0,4,25.0,23.0,29.0,42.0,0.0,2.0,Complete,Complete,In Progress,86.53846,B,28.0,44.0,90.3125,A,,,,0.5,,,0.5,,,,0.5,,,,,,4.0,,96.28571,72.30769000000001,0.0,2.0
,10.0,10.0,10.0,4.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,6.41025,F,,,,,,,,,,,,,,,,,,,,,2.0,,0.0,0.0,0.0,0.0
,434.5,434.5,434.5,4,5,5.0,18.0,5.0,20.0,5.0,17.0,5.0,19.0,4.0,20.0,4.5,19.0,,25,25.0,25,25.0,30.0,39.0,41.0,,,,,Complete,91.02564,A,20.0,45.0,92.39583,A,,,,0.5,0.5,0.5,0.5,0.0,,0.0,0.5,0.5,0.0,0.0,,,6.0,,87.57141999999999,84.61538,0.0,0.0
,391.0,391.0,391.0,4.5,5,5.0,20.0,5.0,14.0,5.0,18.0,5.0,19.0,5.0,20.0,0.0,0.0,,,23.0,25,25.0,35.0,37.0,45.0,,,,,,90.70512,A,25.5,44.0,83.54166,B,,,,,,,,,,,,,,,,,6.0,,73.85714,90.0,0.0,0.0
,443.5,443.5,443.5,5,4,5.0,20.0,5.0,18.0,5.0,15.5,5.0,18.0,4.0,18.0,3.5,19.5,21.5,22.5,23.5,22,25.0,27.0,25.0,32.0,,1.0,Complete,,Complete,91.34615,B,25.0,44.5,85.20833,B,,15.0,,,,,,,,,,,,,,,15.0,,91.57141999999999,64.61538,100.0,1.0
,445.5,445.5,445.5,4.5,4.5,5.0,20.0,3.0,18.0,5.0,18.0,4.0,19.0,3.0,20.0,4.5,20.0,22.0,20.5,0.0,23,25.0,37.0,32.0,43.0,,1.0,Complete,,,92.30769000000001,A,29.5,44.0,91.77083,A,,15.0,,,,,,,,,,,,,,,6.0,,86.71428,86.15384,100.0,1.0
,498.5,498.5,498.5,4.5,5,5.0,20.0,5.0,18.0,5.0,20.0,5.0,19.0,5.0,20.0,5.0,20.0,25.0,25,25.0,24,25.0,34.0,38.0,50.0,,2.0,Complete,Needs Grading,Complete,93.91025,A,30.0,45.0,97.8125,A,,15.0,,,,,,,,,,,,,,,6.0,,98.85714,93.84615,100.0,2.0
,466.5,466.5,466.5,4.5,5,0.0,19.0,3.0,16.0,5.0,19.5,5.0,20.0,0.0,19.0,5.0,20.0,23.0,22.75,25.0,24.5,25.0,33.0,35.0,44.0,,1.0,,Complete,Complete,87.17948,B,27.5,44.75,92.1875,A,,15.0,,,,,,,,,,,,,,,6.0,,92.57141999999999,86.15384,100.0,1.0
,429.75,429.75,429.75,4.5,4,4.5,20.0,5.0,19.0,5.0,17.0,5.0,15.0,5.0,20.0,5.0,19.0,24.0,23.5,24.0,24,,33.0,36.0,45.0,,,,,Complete,87.82051,B,23.75,43.5,91.40625,A,,,,0.0,,,,,,,,,,,,,5.0,,86.35714,87.6923,0.0,0.0
,449.0,449.0,449.0,3.5,5,5.0,20.0,4.0,17.0,4.5,18.0,4.5,20.0,5.0,20.0,4.5,18.5,24.5,24.5,23.0,0,25.0,32.0,35.0,42.0,0.0,3.0,Complete,Complete,Complete,89.42307,B,28.5,44.0,92.91666,A,,15.0,,,,,,,,,,,,,,,6.0,,88.71428,83.84615,100.0,3.0
,371.0,371.0,371.0,5,5,3.5,18.5,4.0,16.0,3.0,20.0,5.0,19.0,4.5,19.0,4.5,19.0,0.0,25,23.0,20,25.0,23.0,18.0,28.0,0.0,1.0,Complete,,Complete,80.76923000000001,B,16.0,43.0,79.375,B,,,,,,,,,,,,,,,,,4.0,,82.28571,53.076919999999994,0.0,1.0
,371.0,371.0,371.0,4,5,5.0,20.0,5.0,19.0,5.0,18.0,5.0,20.0,5.0,20.0,4.5,19.5,,,,,25.0,32.0,33.0,48.0,,1.0,Complete,,Complete,91.66666,A,30.0,43.0,79.375,B,,,,,,,,,,,,,,,,,5.0,,69.71428,86.92307,0.0,1.0
,380.5,380.5,380.5,0,0,3.5,20.0,5.0,18.0,5.0,18.0,4.0,18.0,0.0,0.0,5.0,18.0,21.0,18,23.5,21,25.0,25.0,30.0,36.0,5.0,2.0,Complete,Complete,,74.67948,C,17.0,35.5,79.16666,B,,9.0,,,,,,0.0,,,,,,,,,0.0,,78.71428,70.0,60.0,7.0
,484.5,484.5,484.5,4,5,4.5,20.0,5.0,18.5,5.0,20.0,4.5,20.0,5.0,20.0,4.5,18.5,24.0,22.5,25.0,25,25.0,36.0,37.0,47.0,0.0,2.0,Complete,,Complete,93.91025,A,28.5,43.0,95.83333,A,,13.0,,,,,,,,,,,,,,,4.0,,96.71428,92.30769000000001,86.66666,2.0
,450.5,450.5,450.5,4.5,5,5.0,20.0,4.0,17.0,5.0,19.0,5.0,20.0,5.0,20.0,4.5,17.5,23.0,24,23.0,25,25.0,30.0,24.0,45.0,,1.0,,Complete,,90.0641,A,29.0,45.0,91.5625,A,,,,,,,,,,,,,,,,,6.0,,96.0,76.15384,0.0,1.0
